trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-98.68856953380013,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-41.32577033771067,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-140.57165072685956,"{0: 12, 1: 9, 2: 1, 3: 1, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-137.70616005803495,"{0: 8, 1: 10, 2: 4, 3: 3, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,-21.343086532106405,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-51.630796880817925,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-104.33736106502586,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-106.38126123427352,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-93.3419451840636,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-74.8619429576631,"{0: 10, 1: 8, 2: 1, 3: 0, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",30,0,-232.2716074111767,"{0: 11, 1: 12, 2: 3, 3: 0, 4: 4}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-88.30725209251918,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",35,0,-98.03816833349649,"{0: 15, 1: 18, 2: 1, 3: 1, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,0,-100.35062735000338,"{0: 16, 1: 11, 2: 2, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-57.308409050076435,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,-59.58131142172248,"{0: 13, 1: 9, 2: 2, 3: 1, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,-69.01036428889289,"{0: 10, 1: 13, 2: 2, 3: 0, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-93.1039445770776,"{0: 11, 1: 12, 2: 1, 3: 0, 4: 1}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,0,-42.39065207711435,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,0,-49.91834781264367,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,-43.63218611890222,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",20,0,-32.09547334243308,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",30,0,-44.01848634031695,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",20,0,-23.595268456078205,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,True,"{'e': 0, 'a': 0}",35,0,-66.83508022753807,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0, 'a': 0}",20,0,-42.73076526995271,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",20,0,-26.9874918004101,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': 0, 'a': 0}",25,0,-46.726229091450364,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",25,0,-24.137630221686404,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0, 'a': 0}",30,0,-72.3740520463365,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
