trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-77.56234029897675,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'e': 0.7071067811865475, 'a': 0.5}",20,0,-36.76016437321253,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'e': 0.5773502691896258, 'a': 0.5}",20,0,-59.38650174610664,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'e': 0.5, 'a': 0.5}",30,0,-112.0602645597787,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'e': 0.4472135954999579, 'a': 0.5}",20,0,-40.04560963669183,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'e': 0.4082482904638631, 'a': 0.5}",30,0,-59.62979924320558,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,False,"{'e': 0.3779644730092272, 'a': 0.5}",25,0,3.4756510747420624,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,False,"{'e': 0.35355339059327373, 'a': 0.5}",20,0,-17.8206222010176,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,False,"{'e': 0.3333333333333333, 'a': 0.5}",20,0,-21.856380840291997,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'e': 0.31622776601683794, 'a': 0.5}",25,5,-16.273863858761008,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'e': 0.30151134457776363, 'a': 0.5}",25,0,-23.876391923445198,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'e': 0.2886751345948129, 'a': 0.5}",25,0,-66.31476532026366,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'e': 0.2773500981126146, 'a': 0.5}",25,0,-118.02399721083816,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
14,False,"{'e': 0.2672612419124244, 'a': 0.5}",30,0,21.545636776845658,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'e': 0.2581988897471611, 'a': 0.5}",25,0,-99.93529632233903,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'e': 0.25, 'a': 0.5}",30,0,-86.0875282848603,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
17,False,"{'e': 0.24253562503633297, 'a': 0.5}",25,0,-52.38445148171474,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'e': 0.23570226039551587, 'a': 0.5}",20,4,17.8412274812438,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.22941573387056174, 'a': 0.5}",30,0,-41.14796067258461,"{0: 25, 1: 1, 2: 1, 3: 3, 4: 0}",0
20,False,"{'e': 0.22360679774997896, 'a': 0.5}",30,0,-43.031053127064546,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
21,False,"{'e': 0.2182178902359924, 'a': 0.5}",20,0,-111.76312350418335,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
22,False,"{'e': 0.21320071635561041, 'a': 0.5}",20,0,-80.55729694681762,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
23,False,"{'e': 0.20851441405707477, 'a': 0.5}",35,0,-67.13304739218766,"{0: 28, 1: 4, 2: 0, 3: 2, 4: 1}",0
