trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-108.93281360264979,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-95.63624713218186,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-60.65845536553316,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-213.59795362795,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,0,-223.42632297203852,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-215.5292686814068,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-233.12867720882912,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 4}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-43.32948546415662,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-72.69542799073504,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-194.29948470038374,"{0: 9, 1: 4, 2: 9, 3: 1, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-153.61441407626486,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-207.66815907012258,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,0,-116.03438403624726,"{0: 17, 1: 8, 2: 3, 3: 1, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-33.31983799067088,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",30,0,-170.8661286985028,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-86.91451696053963,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,-91.31563753221306,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-89.16114711238048,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,0,-99.78542498678749,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
